,Image,Labels
174,train\Mild\6d292ca4c9ad.png,Mild
943,train\Moderate\907aaff827e5.png,Moderate
2584,train\No_DR\ae49cc60f251.png,No_DR
2521,train\No_DR\a821b6ecef33.png,No_DR
2140,train\No_DR\74898f372d2b.png,No_DR
3384,train\Proliferate_DR\ba08cee68c71.png,Proliferate_DR
2446,train\No_DR\9d75de31f1b8.png,No_DR
68,train\Mild\2f4e81787d9b.png,Mild
780,train\Moderate\62cc7ddb53b6.png,Moderate
1277,train\Moderate\e387311a840e.png,Moderate
3215,train\Proliferate_DR\247ac63e5510.png,Proliferate_DR
3084,train\No_DR\f3a4751af42e.png,No_DR
529,train\Moderate\261c6bd63bff.png,Moderate
1064,train\Moderate\ab50123abadb.png,Moderate
2818,train\No_DR\d02b79fc3200.png,No_DR
2673,train\No_DR\b9bc81fcb075.png,No_DR
345,train\Mild\ea15a290eb96.png,Mild
824,train\Moderate\6f4e0538d1e4.png,Moderate
2068,train\No_DR\69f43381317b.png,No_DR
2871,train\No_DR\d7ab5c040294.png,No_DR
1006,train\Moderate\a04fb36db784.png,Moderate
367,train\Mild\fe674c2f73f5.png,Mild
877,train\Moderate\803120c5d287.png,Moderate
245,train\Mild\a3d2a0c4cd17.png,Mild
2269,train\No_DR\851e40a21f81.png,No_DR
285,train\Mild\bf18ff30a8f6.png,Mild
57,train\Mild\278aa860dffd.png,Mild
2878,train\No_DR\d844a7252f4e.png,No_DR
1602,train\No_DR\2408799a09b2.png,No_DR
404,train\Moderate\09eeafa9656a.png,Moderate
2444,train\No_DR\9d1feed37610.png,No_DR
809,train\Moderate\6a91eb157f47.png,Moderate
2914,train\No_DR\dcf109df1a2b.png,No_DR
1792,train\No_DR\4210809074c1.png,No_DR
303,train\Mild\ca30a97e9d13.png,Mild
3367,train\Proliferate_DR\a6d45de20e4d.png,Proliferate_DR
599,train\Moderate\38487e1a5b1f.png,Moderate
1310,train\Moderate\eadfc8809ec8.png,Moderate
3429,train\Proliferate_DR\e037643244b7.png,Proliferate_DR
2645,train\No_DR\b69c224edd6e.png,No_DR
2219,train\No_DR\7eee3d1f1268.png,No_DR
2285,train\No_DR\87b671c6d4c5.png,No_DR
2052,train\No_DR\66b88a4bc474.png,No_DR
1888,train\No_DR\4eaf2f81819d.png,No_DR
2336,train\No_DR\8ee50c26fc13.png,No_DR
144,train\Mild\59e5212f7139.png,Mild
2651,train\No_DR\b72f59b85f7c.png,No_DR
2352,train\No_DR\90bde2ff8953.png,No_DR
1984,train\No_DR\5bea250d8bf5.png,No_DR
1884,train\No_DR\4e54ccfd49b2.png,No_DR
725,train\Moderate\527bea76116c.png,Moderate
1325,train\Moderate\f18abfa690ab.png,Moderate
1922,train\No_DR\5299a532f0e0.png,No_DR
1313,train\Moderate\eb32a815f78c.png,Moderate
2714,train\No_DR\bf7221a016b5.png,No_DR
2990,train\No_DR\e68746d426b2.png,No_DR
197,train\Mild\7f60f2a083d3.png,Mild
225,train\Mild\94372043d55b.png,Mild
1485,train\No_DR\12ab2f6397f0.png,No_DR
2136,train\No_DR\73d40ce06a67.png,No_DR
556,train\Moderate\2af1bf226f51.png,Moderate
49,train\Mild\22098b1fe461.png,Mild
739,train\Moderate\56e56aa08362.png,Moderate
2025,train\No_DR\62b4be2799ca.png,No_DR
2261,train\No_DR\8433a032b96c.png,No_DR
812,train\Moderate\6ba5ed791444.png,Moderate
2560,train\No_DR\ab78a66dee6a.png,No_DR
1524,train\No_DR\188219f2d9c6.png,No_DR
3584,train\Severe\9a94e0316ee3.png,Severe
1257,train\Moderate\df8365d6ac33.png,Moderate
2030,train\No_DR\63b71347e95d.png,No_DR
1698,train\No_DR\338326891d84.png,No_DR
2688,train\No_DR\bb85097857fa.png,No_DR
2544,train\No_DR\aa10a4b2e709.png,No_DR
2910,train\No_DR\dc0f6e5b489b.png,No_DR
307,train\Mild\cab3dfa7962d.png,Mild
1709,train\No_DR\351e842842a2.png,No_DR
81,train\Mild\365f8c01d994.png,Mild
3145,train\No_DR\fbfa925506f6.png,No_DR
2747,train\No_DR\c546670d9684.png,No_DR
2078,train\No_DR\6b91e99c9408.png,No_DR
1182,train\Moderate\cac80797770f.png,Moderate
2506,train\No_DR\a62e995f167c.png,No_DR
3368,train\Proliferate_DR\a76b69e443ce.png,Proliferate_DR
827,train\Moderate\70f5caf5f305.png,Moderate
1734,train\No_DR\384e6c915722.png,No_DR
1098,train\Moderate\b498b84d383f.png,Moderate
2566,train\No_DR\ac1667fac512.png,No_DR
3112,train\No_DR\f7116e7b2f4e.png,No_DR
2690,train\No_DR\bc7bf19b84e3.png,No_DR
1076,train\Moderate\aed4e743c230.png,Moderate
1857,train\No_DR\4b6895d0cf8d.png,No_DR
2707,train\No_DR\be8697eb2078.png,No_DR
3108,train\No_DR\f64b6e85f1c9.png,No_DR
2643,train\No_DR\b66f23ffa730.png,No_DR
2580,train\No_DR\addf66a50f42.png,No_DR
2373,train\No_DR\93a1b984de84.png,No_DR
968,train\Moderate\9837048b85dc.png,Moderate
2271,train\No_DR\85f99e7e4052.png,No_DR
3635,train\Severe\dbb2c63f6f08.png,Severe
2574,train\No_DR\ad1aa75d5630.png,No_DR
1387,train\No_DR\0304bedad8fe.png,No_DR
3224,train\Proliferate_DR\29bc0e721cfe.png,Proliferate_DR
2719,train\No_DR\bfb578c0e8d8.png,No_DR
697,train\Moderate\4da6e2089d57.png,Moderate
3001,train\No_DR\e893e86dde94.png,No_DR
2761,train\No_DR\c6916bc42016.png,No_DR
1175,train\Moderate\ca0f1a17c8e5.png,Moderate
1840,train\No_DR\493d99f030e2.png,No_DR
2993,train\No_DR\e6a5e4718873.png,No_DR
878,train\Moderate\807135cbc438.png,Moderate
2100,train\No_DR\6dc07f968794.png,No_DR
2206,train\No_DR\7d48f8cdfb69.png,No_DR
9,train\Mild\0684311afdfc.png,Mild
329,train\Mild\d85d052900b4.png,Mild
459,train\Moderate\180afe1d5ef7.png,Moderate
1131,train\Moderate\be161517d3ac.png,Moderate
814,train\Moderate\6c315ad3d07f.png,Moderate
705,train\Moderate\4f46d7ee61ed.png,Moderate
3330,train\Proliferate_DR\84c663f39632.png,Proliferate_DR
2310,train\No_DR\8af50c9d0a86.png,No_DR
484,train\Moderate\1cb814ed6332.png,Moderate
1030,train\Moderate\a49b0b4484ea.png,Moderate
1761,train\No_DR\3ca8be3b40d6.png,No_DR
1172,train\Moderate\c8a3eb9a5b52.png,Moderate
1869,train\No_DR\4ccee4db09b6.png,No_DR
273,train\Mild\b7278b4f2448.png,Mild
749,train\Moderate\594f69b503ad.png,Moderate
2203,train\No_DR\7ce671f952be.png,No_DR
3440,train\Proliferate_DR\e821c1b6417a.png,Proliferate_DR
1526,train\No_DR\189cbbc9e5e3.png,No_DR
1108,train\Moderate\b83a6eca125f.png,Moderate
1029,train\Moderate\a47878630dc2.png,Moderate
3125,train\No_DR\f8f5942b690e.png,No_DR
3316,train\Proliferate_DR\79d44db3da2d.png,Proliferate_DR
1254,train\Moderate\dee687c6e88a.png,Moderate
352,train\Mild\ef8109305128.png,Mild
1759,train\No_DR\3c9529918097.png,No_DR
642,train\Moderate\42a850acd2ac.png,Moderate
213,train\Mild\8bbd7835e9aa.png,Mild
0,train\Mild\0024cdab0c1e.png,Mild
664,train\Moderate\45c39ab9e797.png,Moderate
2980,train\No_DR\e594c19e2e1d.png,No_DR
3509,train\Severe\36b5b3c9fb32.png,Severe
575,train\Moderate\2fdffb6160a6.png,Moderate
1104,train\Moderate\b665041e1633.png,Moderate
2590,train\No_DR\ae975c43bd8b.png,No_DR
1376,train\No_DR\0151781fe50b.png,No_DR
88,train\Mild\3c726de3ee90.png,Mild
208,train\Mild\8714d17bb6da.png,Mild
1018,train\Moderate\a2ad3da4c7d6.png,Moderate
2525,train\No_DR\a86128b601a7.png,No_DR
717,train\Moderate\51d780864365.png,Moderate
2220,train\No_DR\7f0ffeb0a333.png,No_DR
2708,train\No_DR\beb00fa6e7c9.png,No_DR
2448,train\No_DR\9e2058917304.png,No_DR
3222,train\Proliferate_DR\27e2be850a99.png,Proliferate_DR
3051,train\No_DR\ef476be214d4.png,No_DR
1720,train\No_DR\35df2bc6ae95.png,No_DR
733,train\Moderate\54bbe3da103e.png,Moderate
1253,train\Moderate\de778495a1cd.png,Moderate
495,train\Moderate\1e4b3b823b95.png,Moderate
3565,train\Severe\80ca40196225.png,Severe
3513,train\Severe\3b018e8b7303.png,Severe
1694,train\No_DR\331121c65e88.png,No_DR
1866,train\No_DR\4c60f6fcea75.png,No_DR
2850,train\No_DR\d516f77d4516.png,No_DR
2721,train\No_DR\bffca6eeb2bf.png,No_DR
3622,train\Severe\c5a9ebef1517.png,Severe
643,train\Moderate\42b08dca9b2f.png,Moderate
2534,train\No_DR\a94da3d3b5c0.png,No_DR
2987,train\No_DR\e6552b7432b3.png,No_DR
1390,train\No_DR\04579e31e4be.png,No_DR
2023,train\No_DR\628b581aa905.png,No_DR
1178,train\Moderate\ca7f5caddf96.png,Moderate
2212,train\No_DR\7e77b61e1639.png,No_DR
588,train\Moderate\3402124408ea.png,Moderate
713,train\Moderate\5188a8afa879.png,Moderate
506,train\Moderate\207a580de0ea.png,Moderate
2079,train\No_DR\6bb30ec3231a.png,No_DR
1599,train\No_DR\233d948e2544.png,No_DR
346,train\Mild\ead23cc922ed.png,Mild
308,train\Mild\cae51154e1ce.png,Mild
3365,train\Proliferate_DR\a3fcf42ff56d.png,Proliferate_DR
1498,train\No_DR\150f92b45349.png,No_DR
2003,train\No_DR\5e97cb2b0888.png,No_DR
729,train\Moderate\5327f88a1919.png,Moderate
3319,train\Proliferate_DR\7bc4dd99eee5.png,Proliferate_DR
1258,train\Moderate\df841a0440d8.png,Moderate
2105,train\No_DR\6e0f78e188ff.png,No_DR
2853,train\No_DR\d56d32a1d62d.png,No_DR
1904,train\No_DR\50916d67bb51.png,No_DR
1021,train\Moderate\a3706ce27869.png,Moderate
3012,train\No_DR\ea4ce9516144.png,No_DR
3485,train\Severe\15f440753916.png,Severe
1530,train\No_DR\18ce0cdc473d.png,No_DR
1540,train\No_DR\1ae3c58759fb.png,No_DR
2927,train\No_DR\de730033c683.png,No_DR
648,train\Moderate\437cbec4a3f8.png,Moderate
1985,train\No_DR\5bf3357a2823.png,No_DR
632,train\Moderate\40140a925c43.png,Moderate
411,train\Moderate\0afdfe5f422c.png,Moderate
2766,train\No_DR\c755a0c4edcc.png,No_DR
2999,train\No_DR\e81f4a2fbbdc.png,No_DR
2149,train\No_DR\75a4343b12f9.png,No_DR
3645,train\Severe\e52ed5c29c5e.png,Severe
533,train\Moderate\26e231747848.png,Moderate
1418,train\No_DR\08bef347f40d.png,No_DR
2094,train\No_DR\6d4f6c9a8406.png,No_DR
2970,train\No_DR\e4a44f9158dc.png,No_DR
2089,train\No_DR\6cb96a6fb029.png,No_DR
3232,train\Proliferate_DR\3206171db5be.png,Proliferate_DR
666,train\Moderate\465c618f7b23.png,Moderate
757,train\Moderate\5a5d3798c357.png,Moderate
923,train\Moderate\8acffaf1f4b9.png,Moderate
3408,train\Proliferate_DR\cd93a472e5cd.png,Proliferate_DR
2848,train\No_DR\d4583e9525dc.png,No_DR
535,train\Moderate\272d9c043c81.png,Moderate
2632,train\No_DR\b4e15102cd7a.png,No_DR
2382,train\No_DR\94f9ecf4b8d2.png,No_DR
1121,train\Moderate\ba25f947f4ec.png,Moderate
542,train\Moderate\28824d12d31d.png,Moderate
1580,train\No_DR\1f5496352859.png,No_DR
3346,train\Proliferate_DR\8db2ce991101.png,Proliferate_DR
2461,train\No_DR\a0445785e2f7.png,No_DR
188,train\Mild\78bcdffb8785.png,Mild
3593,train\Severe\a4b8de38eac1.png,Severe
2401,train\No_DR\97c6cb55866d.png,No_DR
1795,train\No_DR\42af7282349b.png,No_DR
561,train\Moderate\2ba0b0d9bda2.png,Moderate
3655,train\Severe\f6f433f3306f.png,Severe
1246,train\Moderate\db49cdf1ea64.png,Moderate
794,train\Moderate\668e853258cd.png,Moderate
1256,train\Moderate\df5ce3ea7820.png,Moderate
430,train\Moderate\1120f6d08d95.png,Moderate
1261,train\Moderate\e0863b353093.png,Moderate
2451,train\No_DR\9e5737f771c3.png,No_DR
78,train\Mild\35aa7f5c2ec0.png,Mild
3353,train\Proliferate_DR\97da093947e8.png,Proliferate_DR
1655,train\No_DR\2c827005b8f8.png,No_DR
1123,train\Moderate\bb733062f494.png,Moderate
3243,train\Proliferate_DR\3b4a5fcbe5e0.png,Proliferate_DR
2740,train\No_DR\c3789c1dab96.png,No_DR
199,train\Mild\80d24897669f.png,Mild
3298,train\Proliferate_DR\6cd606dc52e9.png,Proliferate_DR
1088,train\Moderate\b187b3c93afb.png,Moderate
3405,train\Proliferate_DR\cbd0870aa933.png,Proliferate_DR
967,train\Moderate\98104c8c67eb.png,Moderate
2356,train\No_DR\91b7a4179ecf.png,No_DR
283,train\Mild\bd269a1f0e4d.png,Mild
2185,train\No_DR\7a46cfa69bae.png,No_DR
1639,train\No_DR\29a13e666266.png,No_DR
3566,train\Severe\80e7cc0a0649.png,Severe
1438,train\No_DR\0afbeeef0ff7.png,No_DR
2834,train\No_DR\d29b37d110f3.png,No_DR
1508,train\No_DR\1608c82a263f.png,No_DR
3292,train\Proliferate_DR\66375b3c64db.png,Proliferate_DR
1907,train\No_DR\50f5201fd18a.png,No_DR
1566,train\No_DR\1df0a4c23c95.png,No_DR
2018,train\No_DR\6180920bc224.png,No_DR
2602,train\No_DR\afc345cc9145.png,No_DR
2146,train\No_DR\7569ac24762e.png,No_DR
1500,train\No_DR\152db3de8120.png,No_DR
1082,train\Moderate\b06dabab4f09.png,Moderate
3094,train\No_DR\f4de9620e3f2.png,No_DR
551,train\Moderate\2a099b247b10.png,Moderate
1120,train\Moderate\b9b6ee2b9453.png,Moderate
3549,train\Severe\6d0c0531083f.png,Severe
3090,train\No_DR\f48241b0c995.png,No_DR
3128,train\No_DR\f952ad2e4356.png,No_DR
3117,train\No_DR\f7735b6d47f7.png,No_DR
3377,train\Proliferate_DR\b55d2ddb3e75.png,Proliferate_DR
1965,train\No_DR\59928f999ae7.png,No_DR
3186,train\Proliferate_DR\0981195eb9fb.png,Proliferate_DR
570,train\Moderate\2e26762daed5.png,Moderate
3362,train\Proliferate_DR\a182b5b191de.png,Proliferate_DR
1026,train\Moderate\a4359815f152.png,Moderate
357,train\Mild\f5650eb52640.png,Mild
1090,train\Moderate\b2748ac28fc1.png,Moderate
1366,train\Moderate\ffa47f6a7bf4.png,Moderate
3230,train\Proliferate_DR\2fe06bedb2c4.png,Proliferate_DR
3352,train\Proliferate_DR\95e732e043a1.png,Proliferate_DR
1673,train\No_DR\2f143453bb71.png,No_DR
1036,train\Moderate\a64273801bde.png,Moderate
167,train\Mild\677f087cd697.png,Mild
773,train\Moderate\5f70ad48a525.png,Moderate
989,train\Moderate\9cedf5c7016b.png,Moderate
2894,train\No_DR\d9e58e4d8689.png,No_DR
1011,train\Moderate\a150ff5dfe07.png,Moderate
2123,train\No_DR\720b5f62ce80.png,No_DR
759,train\Moderate\5b644a403e1f.png,Moderate
816,train\Moderate\6cbc3dad809c.png,Moderate
3354,train\Proliferate_DR\9859e2a6cc24.png,Proliferate_DR
2175,train\No_DR\78937523f7a8.png,No_DR
489,train\Moderate\1dbdc32c17db.png,Moderate
3603,train\Severe\aea59ebec445.png,Severe
605,train\Moderate\39b5b05d6cd9.png,Moderate
853,train\Moderate\78a577c3e0bf.png,Moderate
1650,train\No_DR\2b4c7b5f1f1e.png,No_DR
1263,train\Moderate\e12b67835e03.png,Moderate
1489,train\No_DR\12ef75375322.png,No_DR
2321,train\No_DR\8ceff4c4c860.png,No_DR
659,train\Moderate\44e951e45dca.png,Moderate
2188,train\No_DR\7a9f45fdf29b.png,No_DR
843,train\Moderate\76c0c7e1b6cb.png,Moderate
1316,train\Moderate\ee02294cc3d9.png,Moderate
2008,train\No_DR\5f51192841f7.png,No_DR
2512,train\No_DR\a6b6d27c1b32.png,No_DR
1861,train\No_DR\4beeca5cc859.png,No_DR
91,train\Mild\3de8ad4151e1.png,Mild
486,train\Moderate\1d55e689cf84.png,Moderate
2164,train\No_DR\77a1f1398fdb.png,No_DR
1232,train\Moderate\d91273efb92a.png,Moderate
3062,train\No_DR\f02956bd7c50.png,No_DR
3143,train\No_DR\fbcbc81cf9be.png,No_DR
3046,train\No_DR\eeaea2c5ff34.png,No_DR
3332,train\Proliferate_DR\8596a24a14bd.png,Proliferate_DR
1804,train\No_DR\43bc7c066dfb.png,No_DR
3484,train\Severe\15bed5adde74.png,Severe
334,train\Mild\dd19428c3d29.png,Mild
103,train\Mild\49c5e7f6b8d2.png,Mild
2900,train\No_DR\da9262d9f5d9.png,No_DR
1570,train\No_DR\1e742358e0b9.png,No_DR
662,train\Moderate\453d553b0a94.png,Moderate
1451,train\No_DR\0ce062f26edc.png,No_DR
864,train\Moderate\7c52fe73e748.png,Moderate
1117,train\Moderate\b98f77098b9d.png,Moderate
1093,train\Moderate\b3c0c3330278.png,Moderate
168,train\Mild\67f5d89da548.png,Mild
8,train\Mild\05a5183c92d0.png,Mild
2801,train\No_DR\cd563556cb57.png,No_DR
1061,train\Moderate\aa9b8f05f4bf.png,Moderate
478,train\Moderate\1c0e5dd1b14c.png,Moderate
2971,train\No_DR\e4ae1ee6aada.png,No_DR
910,train\Moderate\882a71de424e.png,Moderate
2610,train\No_DR\b0b3b16fc305.png,No_DR
2433,train\No_DR\9ba469af2980.png,No_DR
3520,train\Severe\4360a112db10.png,Severe
1422,train\No_DR\09237bf783a4.png,No_DR
1874,train\No_DR\4d167ca69ea8.png,No_DR
2687,train\No_DR\bb752b179751.png,No_DR
1248,train\Moderate\dc3c0d8ee20b.png,Moderate
3387,train\Proliferate_DR\bba38f2294a3.png,Proliferate_DR
2471,train\No_DR\a0e635689259.png,No_DR
3533,train\Severe\50a2aef380c8.png,Severe
1335,train\Moderate\f45f1485c940.png,Moderate
2144,train\No_DR\7526cf435753.png,No_DR
3017,train\No_DR\ea9c41e1ced0.png,No_DR
1041,train\Moderate\a721efb1e049.png,Moderate
2553,train\No_DR\aafe980edd0c.png,No_DR
2640,train\No_DR\b5bf7b84fc66.png,No_DR
2691,train\No_DR\bc8c6a778cde.png,No_DR
785,train\Moderate\63d217b059b6.png,Moderate
202,train\Mild\8273fdb4405e.png,Mild
1048,train\Moderate\a879c3569552.png,Moderate
825,train\Moderate\709784f7fcc2.png,Moderate
282,train\Mild\bc73ce76ec43.png,Mild
1542,train\No_DR\1b398c0494d1.png,No_DR
2744,train\No_DR\c3c8fdda50c0.png,No_DR
1453,train\No_DR\0d0b8fc9ab5c.png,No_DR
3419,train\Proliferate_DR\d659d7fd5ccf.png,Proliferate_DR
919,train\Moderate\8a67f1efa315.png,Moderate
1298,train\Moderate\e811f39a1243.png,Moderate
311,train\Mild\cc9270f06b65.png,Mild
811,train\Moderate\6b869f37cdf3.png,Moderate
1710,train\No_DR\35362d43e753.png,No_DR
3490,train\Severe\1ab3f1c71a5f.png,Severe
2138,train\No_DR\74211a2b6dcf.png,No_DR
1796,train\No_DR\42b9c1977681.png,No_DR
474,train\Moderate\1ae8c165fd53.png,Moderate
2586,train\No_DR\ae58ccb5905e.png,No_DR
1747,train\No_DR\3ac92ac3d65a.png,No_DR
2601,train\No_DR\af87d48ffe01.png,No_DR
807,train\Moderate\698d6e422a80.png,Moderate
114,train\Mild\4e6071b73120.png,Mild
18,train\Mild\0d310aba6373.png,Mild
75,train\Mild\33ffddea8c6e.png,Mild
1781,train\No_DR\40c24aded50c.png,No_DR
2866,train\No_DR\d7078e8b0349.png,No_DR
3167,train\No_DR\ff4832d55461.png,No_DR
1967,train\No_DR\5995321563b7.png,No_DR
2917,train\No_DR\dd3176bacfe2.png,No_DR
2880,train\No_DR\d866c26d76f0.png,No_DR
1450,train\No_DR\0cd31078cd08.png,No_DR
3150,train\No_DR\fcc32dffd24d.png,No_DR
3209,train\Proliferate_DR\20d5fdd450ae.png,Proliferate_DR
1116,train\Moderate\b95d4dd8e5e2.png,Moderate
3168,train\No_DR\ff4955e76894.png,No_DR
2034,train\No_DR\64ac539f58cb.png,No_DR
2923,train\No_DR\de4cdabbce6d.png,No_DR
177,train\Mild\7116128c65ab.png,Mild
1062,train\Moderate\aa9cfe639ef1.png,Moderate
2962,train\No_DR\e30a890600e1.png,No_DR
1876,train\No_DR\4d1e7def7624.png,No_DR
934,train\Moderate\8dfff47b06b7.png,Moderate
3639,train\Severe\e13412678eff.png,Severe
981,train\Moderate\9ad92f1c1542.png,Moderate
753,train\Moderate\5a03fe3ed15c.png,Moderate
2614,train\No_DR\b10fca20c885.png,No_DR
1658,train\No_DR\2cdcc910778d.png,No_DR
2891,train\No_DR\d9ad2a0ec026.png,No_DR
2042,train\No_DR\65cf00be6fb4.png,No_DR
47,train\Mild\1e8a1fdee5b9.png,Mild
2161,train\No_DR\76df141d966b.png,No_DR
2063,train\No_DR\691eeb59b4cb.png,No_DR
685,train\Moderate\4a44cc840ebe.png,Moderate
3577,train\Severe\910bfd38e2f5.png,Severe
3522,train\Severe\498f143c0374.png,Severe
1545,train\No_DR\1c13a1483f4a.png,No_DR
1398,train\No_DR\0551676cc2aa.png,No_DR
2058,train\No_DR\683023cda6a5.png,No_DR
3507,train\Severe\352e4a939242.png,Severe
1948,train\No_DR\5728b8aa98ef.png,No_DR
2041,train\No_DR\65a7fe9482fe.png,No_DR
3303,train\Proliferate_DR\6e73acb2cf60.png,Proliferate_DR
765,train\Moderate\5d024177e214.png,Moderate
3192,train\Proliferate_DR\10fca1abf338.png,Proliferate_DR
3558,train\Severe\772af553b8b7.png,Severe
902,train\Moderate\86baef833ae0.png,Moderate
1716,train\No_DR\359bab5d784b.png,No_DR
2411,train\No_DR\98e44127872f.png,No_DR
1762,train\No_DR\3cab32dd6ef9.png,No_DR
2099,train\No_DR\6dc0281f11e3.png,No_DR
73,train\Mild\33105f9b3a04.png,Mild
2805,train\No_DR\ce6f33a81ad5.png,No_DR
2724,train\No_DR\c096131ad065.png,No_DR
1271,train\Moderate\e229aca862c7.png,Moderate
776,train\Moderate\61ac9b0dc6b9.png,Moderate
2037,train\No_DR\650104ede84c.png,No_DR
1156,train\Moderate\c561bcd519e9.png,Moderate
2650,train\No_DR\b72a86d61959.png,No_DR
2989,train\No_DR\e66ad813a508.png,No_DR
1347,train\Moderate\f999c6921e6d.png,Moderate
1320,train\Moderate\ee74c3b177e0.png,Moderate
231,train\Mild\9782c0489eca.png,Mild
369,train\Mild\fecf4c5ae84b.png,Mild
3139,train\No_DR\fb1b8771c70a.png,No_DR
789,train\Moderate\653534ded339.png,Moderate
2731,train\No_DR\c23ff6dcf15e.png,No_DR
527,train\Moderate\25dc1b41ed9c.png,Moderate
631,train\Moderate\3ffa14d60b24.png,Moderate
3629,train\Severe\d035c2bd9104.png,Severe
885,train\Moderate\82deb07a6618.png,Moderate
3347,train\Proliferate_DR\8eeac97f02f0.png,Proliferate_DR
2679,train\No_DR\ba4e62c11cc0.png,No_DR
2243,train\No_DR\81d79d53ed7b.png,No_DR
706,train\Moderate\4f60129e9a5b.png,Moderate
2247,train\No_DR\82e5bc01f8a4.png,No_DR
1139,train\Moderate\bfd5c0e55420.png,Moderate
2045,train\No_DR\65f5d2a6eb7e.png,No_DR
3036,train\No_DR\ed3ce1674761.png,No_DR
3138,train\No_DR\fa9f1bc03f21.png,No_DR
3581,train\Severe\91cf56d3d1af.png,Severe
2228,train\No_DR\7fdb177b8f7d.png,No_DR
2564,train\No_DR\abe940882578.png,No_DR
2825,train\No_DR\d1afdb8cf70d.png,No_DR
1385,train\No_DR\02cd34a85b24.png,No_DR
1886,train\No_DR\4e85aa647534.png,No_DR
2107,train\No_DR\6e3526053de0.png,No_DR
3310,train\Proliferate_DR\7270367410a1.png,Proliferate_DR
2354,train\No_DR\912fbe06407e.png,No_DR
1055,train\Moderate\a9c7b83caf81.png,Moderate
317,train\Mild\d06ccd0cf4b8.png,Mild
1375,train\No_DR\014508ccb9cb.png,No_DR
120,train\Mild\50840c36f0b4.png,Mild
2200,train\No_DR\7c3747c0b2c3.png,No_DR
2763,train\No_DR\c6d4e4a3bd4c.png,No_DR
3415,train\Proliferate_DR\d2901144070c.png,Proliferate_DR
2221,train\No_DR\7f1f3269f546.png,No_DR
3312,train\Proliferate_DR\753b14c27c83.png,Proliferate_DR
1974,train\No_DR\5ac7a414560e.png,No_DR
988,train\Moderate\9c5dd3612f0c.png,Moderate
419,train\Moderate\0dbaa09a458c.png,Moderate
3207,train\Proliferate_DR\1fd5d860d4d7.png,Proliferate_DR
2141,train\No_DR\750e0168399d.png,No_DR
1238,train\Moderate\d990a3f0cbdb.png,Moderate
2338,train\No_DR\8f10e41a2f02.png,No_DR
3007,train\No_DR\e9678824215d.png,No_DR
3268,train\Proliferate_DR\576e189d23d4.png,Proliferate_DR
2735,train\No_DR\c2a58b2cfd0b.png,No_DR
1420,train\No_DR\08ee569d4721.png,No_DR
1054,train\Moderate\a9a28c37c8c4.png,Moderate
1847,train\No_DR\4a05f81b3aba.png,No_DR
912,train\Moderate\8871e6a26596.png,Moderate
1429,train\No_DR\09c8323c612e.png,No_DR
1809,train\No_DR\441848e0f308.png,No_DR
1457,train\No_DR\0da321efbce6.png,No_DR
1402,train\No_DR\06586082a24d.png,No_DR
284,train\Mild\bebb3f167654.png,Mild
2379,train\No_DR\946545473380.png,No_DR
817,train\Moderate\6d3d1fe6c32a.png,Moderate
3569,train\Severe\8688f3d0fcaf.png,Severe
2605,train\No_DR\b0619ca93a5f.png,No_DR
1395,train\No_DR\05195a3db5e2.png,No_DR
781,train\Moderate\62e6f814c8f5.png,Moderate
1229,train\Moderate\d85a842d20bd.png,Moderate
384,train\Moderate\03747397839f.png,Moderate
117,train\Mild\4ef7144e24ff.png,Mild
2014,train\No_DR\60edda7b4871.png,No_DR
2559,train\No_DR\ab724603ee93.png,No_DR
389,train\Moderate\04a6fc58dabc.png,Moderate
602,train\Moderate\38fe9f854046.png,Moderate
1492,train\No_DR\13d014ccd136.png,No_DR
3500,train\Severe\2bb063318cf1.png,Severe
1928,train\No_DR\535682537302.png,No_DR
3379,train\Proliferate_DR\b77b8a1f09f1.png,Proliferate_DR
613,train\Moderate\3c311c9109b0.png,Moderate
457,train\Moderate\175dd560810a.png,Moderate
1893,train\No_DR\4faf4063db8c.png,No_DR
246,train\Mild\a443c4fd489c.png,Mild
270,train\Mild\b640e3bdff75.png,Mild
1331,train\Moderate\f3a268d2726d.png,Moderate
1568,train\No_DR\1dfe599d12a9.png,No_DR
3548,train\Severe\6baafa56895c.png,Severe
975,train\Moderate\9a28d4e8aef0.png,Moderate
3309,train\Proliferate_DR\710b05a96e0f.png,Proliferate_DR
1531,train\No_DR\190a309f2cc5.png,No_DR
1791,train\No_DR\4205e9deb058.png,No_DR
2662,train\No_DR\b8297a2291f5.png,No_DR
1252,train\Moderate\de50dfa745f8.png,Moderate
3,train\Mild\01b3aed3ed4c.png,Mild
3544,train\Severe\687759336b0d.png,Severe
2400,train\No_DR\97a235367f9d.png,No_DR
493,train\Moderate\1e1fb019710d.png,Moderate
1818,train\No_DR\4528fbbd43a3.png,No_DR
499,train\Moderate\1f4bf8e28b41.png,Moderate
3267,train\Proliferate_DR\55eb405ec71e.png,Proliferate_DR
492,train\Moderate\1e143fa3de57.png,Moderate
1224,train\Moderate\d81338217fc5.png,Moderate
2333,train\No_DR\8ead17dfb6a6.png,No_DR
2513,train\No_DR\a70d0f12a641.png,No_DR
2485,train\No_DR\a26f50218b84.png,No_DR
30,train\Mild\12e3f5f2cb17.png,Mild
287,train\Mild\c0968d41eb93.png,Mild
3219,train\Proliferate_DR\2628305cbb29.png,Proliferate_DR
